Product_itemcode	product_Name	Material_itemcode	Material_name
PFTS0223	30-03 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0223	30-03 COFFEE Rom	C0064	palistrol
PFTS0091	40-30 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFT0155	8-18 Driver korpus Dusel YTM	C0258	PC drobilka ko'cha
PFT0155	8-18 Driver korpus Dusel YTM	C0259	PC drobilka ko'cha otxod
PFT0155	8-18 Driver korpus Dusel YTM	C0041	Oq rang
PFTS0082	40-13 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0071	50-71 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFT0047	PARRAK-100 Platinum	C0014	rich abs otxod
PFT0047	PARRAK-100 Platinum	C0017	rich abs
PFTS0164	50-03 BLUE Rom	C0058	palistrol otxod drobilka
PFTS0164	50-03 BLUE Rom	C0064	palistrol
PFTS0029	50-03 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0083	40-14 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0038	50-15 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0191	50-60 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0191	50-60 COFFEE Rom	C0064	palistrol
PFTS0136	40-09 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0136	40-09 COFFEE Rom	C0064	palistrol
PFTS0114	40-01 BLUE Rom	C0058	palistrol otxod drobilka
PFTS0114	40-01 BLUE Rom	C0064	palistrol
PFTS0118	40-03 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0118	40-03 COFFEE Rom	C0064	palistrol
PFTS0025	50-45 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0081	40-11 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0065	50-65 Plafon korpus	PZ0105	PZ-Pet list 475-480
PFTS0102	40-41 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFT0195	Nar 8 Tagi Gold	C0014	rish abs otxod
PFT0195	Nar 8 Tagi Gold	C0017	rich abs
